iter	Passed	Remaining
0	135	945070
1	213	748422
2	292	681513
3	370	647520
4	439	615529
5	501	584151
6	559	558798
7	612	535297
8	679	527973
9	749	523705
10	803	510384
11	859	500576
12	917	493222
13	972	485489
14	1028	479152
15	1084	473560
16	1141	468774
17	1198	464786
18	1255	461218
19	1308	456788
20	1365	453774
21	1423	451374
22	1481	449393
23	1536	446493
24	1593	444462
25	1649	442545
26	1712	442323
27	1768	440362
28	1822	438105
29	1877	436185
30	1933	434753
31	1989	433184
32	2042	431229
33	2099	430243
34	2158	429604
35	2217	428879
36	2269	427141
37	2321	425245
38	2377	424382
39	2434	423626
40	2492	422972
41	2548	422124
42	2602	421066
43	2657	420178
44	2712	419268
45	2767	418430
46	2823	417640
47	2878	416886
48	2933	416173
49	2989	415579
50	3044	414822
51	3103	414668
52	3158	414017
53	3214	413513
54	3272	413218
55	3328	412697
56	3381	411932
57	3437	411404
58	3488	410456
59	3544	409978
60	3600	409575
61	3655	409103
62	3711	408664
63	3766	408187
64	3819	407523
65	3872	406820
66	3925	406178
67	3976	405376
68	4031	404917
69	4086	404555
70	4138	403920
71	4193	403488
72	4248	403147
73	4300	402489
74	4356	402248
75	4416	402373
76	4470	401971
77	4524	401484
78	4575	400875
79	4630	400572
80	4691	400706
81	4745	400336
82	4799	399995
83	4852	399522
84	4906	399131
85	4958	398672
86	5013	398404
87	5066	397971
88	5118	397479
89	5175	397389
90	5229	397052
91	5282	396680
92	5338	396479
93	5391	396108
94	5443	395675
95	5495	395186
96	5549	394901
97	5610	395116
98	5674	395530
99	5732	395519
100	5788	395404
101	5842	395134
102	5895	394748
103	5949	394508
104	6003	394235
105	6056	393924
106	6110	393671
107	6164	393399
108	6220	393264
109	6270	392771
110	6324	392491
111	6373	391953
112	6424	391563
113	6475	391162
114	6525	390700
115	6579	390472
116	6633	390219
117	6689	390129
118	6743	389953
119	6795	389609
120	6850	389434
121	6905	389313
122	6956	388954
123	7008	388628
124	7063	388496
125	7116	388226
126	7171	388113
127	7226	387969
128	7276	387588
129	7332	387513
130	7384	387227
131	7437	386955
132	7489	386696
133	7541	386439
134	7595	386268
135	7649	386074
136	7706	386032
137	7761	385937
138	7814	385708
139	7865	385426
140	7918	385190
141	7970	384961
142	8022	384709
143	8075	384483
144	8129	384348
145	8183	384159
146	8235	383935
147	8287	383703
148	8344	383680
149	8395	383411
150	8450	383281
151	8503	383110
152	8555	382884
153	8608	382685
154	8657	382322
155	8712	382230
156	8767	382128
157	8818	381867
158	8870	381672
159	8925	381543
160	8976	381288
161	9030	381182
162	9084	381034
163	9137	380876
164	9195	380911
165	9246	380676
166	9300	380554
167	9352	380345
168	9400	379982
169	9452	379778
170	9504	379583
171	9558	379463
172	9614	379425
173	9669	379327
174	9723	379216
175	9777	379089
176	9831	378976
177	9883	378795
178	9935	378617
179	9986	378376
180	10041	378296
181	10095	378183
182	10147	378000
183	10201	377881
184	10258	377902
185	10311	377755
186	10362	377527
187	10416	377438
188	10465	377132
189	10516	376951
190	10571	376849
191	10626	376803
192	10684	376828
193	10738	376744
194	10795	376738
195	10859	376965
196	10911	376801
197	10967	376761
198	11021	376658
199	11073	376486
200	11124	376309
201	11179	376218
202	11232	376091
203	11288	376053
204	11340	375883
205	11389	375619
206	11442	375494
207	11493	375321
208	11546	375176
209	11601	375123
210	11654	374987
211	11707	374875
212	11762	374812
213	11817	374751
214	11871	374654
215	11924	374517
216	11976	374373
217	12029	374251
218	12084	374169
219	12140	374161
220	12193	374027
221	12247	373930
222	12299	373783
223	12351	373633
224	12404	373501
225	12453	373262
226	12505	373136
227	12557	372972
228	12608	372789
229	12662	372720
230	12718	372690
231	12770	372558
232	12829	372601
233	12880	372440
234	12933	372323
235	12984	372144
236	13036	372002
237	13089	371903
238	13142	371792
239	13193	371612
240	13246	371500
241	13300	371424
242	13351	371259
243	13400	371027
244	13453	370939
245	13506	370818
246	13558	370693
247	13611	370589
248	13666	370539
249	13721	370491
250	13774	370386
251	13824	370197
252	13877	370084
253	13927	369909
254	13984	369903
255	14038	369820
256	14090	369684
257	14140	369527
258	14195	369467
259	14245	369282
260	14298	369182
261	14350	369071
262	14398	368838
263	14448	368647
264	14498	368482
265	14553	368444
266	14605	368309
267	14659	368238
268	14711	368115
269	14765	368045
270	14815	367874
271	14874	367925
272	14933	367968
273	14984	367819
274	15039	367778
275	15090	367648
276	15140	367474
277	15194	367410
278	15247	367306
279	15297	367140
280	15350	367048
281	15401	366908
282	15452	366776
283	15508	366740
284	15557	366548
285	15612	366503
286	15661	366327
287	15717	366299
288	15774	366299
289	15826	366201
290	15878	366074
291	15931	365990
292	15984	365907
293	16039	365844
294	16091	365745
295	16141	365586
296	16194	365495
297	16247	365410
298	16298	365282
299	16350	365165
300	16403	365064
301	16455	364966
302	16506	364829
303	16559	364754
304	16614	364708
305	16667	364625
306	16719	364499
307	16773	364434
308	16825	364331
309	16875	364176
310	16925	364030
311	16976	363905
312	17032	363877
313	17082	363735
314	17133	363608
315	17189	363583
316	17240	363467
317	17289	363297
318	17342	363220
319	17391	363041
320	17444	362962
321	17497	362890
322	17550	362797
323	17601	362688
324	17653	362583
325	17705	362482
326	17756	362350
327	17805	362196
328	17859	362130
329	17911	362030
330	17964	361952
331	18019	361905
332	18072	361832
333	18122	361697
334	18179	361684
335	18230	361576
336	18284	361508
337	18337	361439
338	18389	361334
339	18444	361289
340	18497	361212
341	18546	361062
342	18600	361007
343	18655	360955
344	18708	360878
345	18760	360788
346	18813	360709
347	18865	360610
348	18919	360552
349	18967	360375
350	19016	360230
351	19068	360137
352	19119	360025
353	19170	359911
354	19218	359732
355	19267	359588
356	19319	359487
357	19371	359402
358	19423	359301
359	19471	359132
360	19525	359094
361	19576	358969
362	19622	358780
363	19677	358730
364	19731	358682
365	19783	358585
366	19837	358529
367	19885	358379
368	19937	358285
369	19990	358202
370	20040	358078
371	20092	357997
372	20153	358056
373	20241	358606
374	20304	358711
375	20356	358616
376	20408	358520
377	20453	358317
378	20509	358286
379	20561	358206
380	20611	358082
381	20662	357965
382	20720	357976
383	20771	357877
384	20823	357782
385	20872	357650
386	20923	357543
387	20975	357446
388	21028	357367
389	21083	357337
390	21138	357302
391	21191	357234
392	21246	357196
393	21303	357182
394	21353	357057
395	21406	356994
396	21457	356878
397	21511	356839
398	21565	356783
399	21617	356693
400	21672	356656
401	21727	356612
402	21778	356510
403	21832	356447
404	21885	356374
405	21936	356286
406	21992	356248
407	22045	356187
408	22099	356134
409	22155	356109
410	22209	356052
411	22262	355984
412	22314	355897
413	22360	355721
414	22415	355673
415	22466	355582
416	22518	355484
417	22572	355433
418	22627	355402
419	22680	355323
420	22734	355270
421	22788	355220
422	22841	355156
423	22893	355071
424	22944	354961
425	22997	354889
426	23050	354832
427	23101	354731
428	23156	354685
429	23209	354620
430	23258	354494
431	23312	354441
432	23365	354362
433	23417	354279
434	23471	354233
435	23522	354125
436	23576	354085
437	23629	354009
438	23683	353955
439	23735	353873
440	23788	353811
441	23839	353711
442	23892	353635
443	23942	353530
444	23998	353504
445	24050	353423
446	24100	353312
447	24152	353233
448	24205	353160
449	24254	353037
450	24307	352964
451	24359	352892
452	24410	352786
453	24464	352736
454	24517	352677
455	24569	352595
456	24622	352527
457	24676	352472
458	24732	352453
459	24784	352370
460	24837	352303
461	24892	352262
462	24945	352196
463	24995	352086
464	25045	351980
465	25092	351828
466	25145	351761
467	25196	351679
468	25247	351574
469	25299	351504
470	25351	351415
471	25401	351318
472	25454	351245
473	25507	351184
474	25560	351122
475	25614	351065
476	25665	350971
477	25716	350882
478	25770	350827
479	25823	350771
480	25874	350682
481	25930	350659
482	25984	350602
483	26035	350515
484	26085	350406
485	26133	350279
486	26187	350222
487	26240	350159
488	26288	350034
489	26344	350007
490	26399	349973
